word,reading,meaning_en,pos,common
寡占,かせん,oligopoly,"n,vs,vt",True
供給,きょうきゅう,supply,n,True
恐慌,きょうこう,panic,n,True
手形,てがた,draft,n,True
需要,じゅよう,demand,n,True
叩き,たたき,springboard for discussion,n,True
暖簾,のれん,goodwill,n,True
展開,てんかい,sharing (information),"n,vs,vt",True
離反,りはん,(customer) churn,n,True
タイト,,tight (supply and demand),"adj-na,n",True
フロー,,flow (period of time economic quantity),n,True
プール,,pool (price ring),n,True
購買力,こうばいりょく,buying power,n,True
消費者,しょうひしゃ,"consumer (of a product, service, etc.)",n,True
生産者,せいさんしゃ,producer,n,True
即戦力,そくせんりょく,ready fire-power,n,True
カルテル,,cartel,n,True
ストック,,stock (point-in-time economic quantity),n,True
物価指数,ぶっかしすう,price index,n,True
ダンピング,,dumping,"n,vs,vt",True
リセッション,,recession,n,True
鞘,さや,margin (between two prices),n,False
集群,しゅうぐん,bunching,"n,vs,vi",False
属名,ぞくめい,generic name,n,False
証憑,しょうひょう,voucher,n,False
ＥＶ,イー・ブイ,enterprise value,n,False
平取,ひらとり,non-executive director,n,False
予実,よじつ,forecast and actual results,n,False
赤伝,あかでん,slip to cancel existing transactions,n,False
黒伝,くろでん,slip for regular business transactions,n,False
動学,どうがく,dynamics,n,False
ＭＣ,エム・シー,marginal cost,n,False
仮定款,かりていかん,provisional articles of incorporation,n,False
企画書,きかくしょ,(written) proposal,n,False
粗利益,あらりえき,gross profit,n,False
値動き,ねうごき,price movement,"n,vs,vi",False
経済人,けいざいじん,Homo economicus,n,False
ＡＢＣ,エー・ビー・シー,activity-based costing,n,False
純利益,じゅんりえき,net income,n,False
中間財,ちゅうかんざい,intermediate goods,n,False
頭出し,あたまだし,brief overview,n,False
ＣＥＯ,シー・イー・オー,chief executive officer,n,False
ＣＲＭ,シー・アール・エム,customer relationship management,n,False
方向性,ほうこうせい,goal,n,False
ＳＩＳ,シス,strategic information system (SIS),n,False
リスケ,,"rescheduling (a meeting, debt, etc.)","n,vs,vt",False
ＭＩＳ,エム・アイ・エス,management information system,n,False
報連相,ほうれんそう,"reporting, contacting, and consultation",n,False
不胎化,ふたいか,sterilization,n,False
製品群,せいひんぐん,family of products,n,False
社内便,しゃないびん,interoffice mail,n,False
原資産,げんしさん,underlying asset,n,False
回転率,かいてんりつ,"turnover rate (merchandise, capital)",n,False
非上場,ひじょうじょう,"unlisted (company, stock)",adj-no,False
最終財,さいしゅうざい,final goods,n,False
基本財,きほんざい,basic goods,n,False
地位財,ちいざい,positional goods,n,False
代理商,だいりしょう,commercial agent,n,False
ＶＡＲ,ブイ・エー・アール,value-added reseller,n,False
Ｍ＆Ａ,エム・アンド・エー,M&A,n,False
死の谷,しのたに,valley of death (barrier between product development and commercialization stages),"exp,n",False
受注率,じゅちゅうりつ,order acceptance rate,n,False
統括部,とうかつぶ,operational unit,n,False
ＭＭＴ,エム・エム・ティー,modern monetary theory,n,False
需要家,じゅようか,"consumer (of a product, service, etc.)",n,False
単元株,たんげんかぶ,trading unit (of shares),n,False
ＭＢＯ,エム・ビー・オー,management by objectives,n,False
ＫＹＣ,ケー・ワイ・シー,know your customer,n,False
ＢＰＭ,ビー・ピー・エム,business process management,n,False
執行者,しっこうしゃ,executive,n,False
ＢＰＯ,ビー・ピー・オー,business process outsourcing,n,False
指図人,さしずにん,order (as in payable to order),n,False
企業戦略,きぎょうせんりゃく,corporate strategy,n,False
乗数効果,じょうすうこうか,multiplier effect,n,False
不当廉売,ふとうれんばい,dumping,n,False
目標管理,もくひょうかんり,management by objectives,n,False
歴史学派,れきしがくは,historical school (of economics),n,False
剰余価値,じょうよかち,surplus value (in Marxian economics),n,False
不変資本,ふへんしほん,constant capital,n,False
有限責任,ゆうげんせきにん,limited liability,n,False
可変資本,かへんしほん,variable capital,n,False
当用買い,とうようがい,buying for immediate requirements,n,False
内部留保,ないぶりゅうほ,internal reserves,n,False
たたき台,たたきだい,springboard for discussion,n,False
自由市場,じゆうしじょう,free market,n,False
付加価値,ふかかち,value added,n,False
ソフト化,ソフトか,shift away from manufacturing to an information and service-based economy,"n,vs",False
一人会社,いちにんかいしゃ,one-man company,n,False
景気後退,けいきこうたい,recession,n,False
成長戦略,せいちょうせんりゃく,growth strategy,n,False
毒薬条項,どくやくじょうこう,poison pill (anti-takeover measure),n,False
限界費用,げんかいひよう,marginal cost,n,False
機会費用,きかいひよう,opportunity cost,n,False
ジニ係数,ジニけいすう,Gini coefficient,n,False
内部統制,ないぶとうせい,internal controls,n,False
管理会社,かんりがいしゃ,proprietary company,n,False
冒険資本,ぼうけんしほん,venture capital,n,False
比較優位,ひかくゆうい,comparative advantage,n,False
絶対優位,ぜったいゆうい,absolute advantage,n,False
国際分業,こくさいぶんぎょう,international division of labor,n,False
