word,reading,meaning_en,pos,common
句,く,clause (e.g. in a database query language),"n,n-suf",True
表,おもて,foreground,n,True
文,ぶん,statement,n,True
値,あたい,value,n,True
キロ,,kilo-,pref,True
ギガ,,gigabyte,n,True
タブ,,tab (in a window),n,True
バス,,bus,n,True
ログ,,log,n,True
ロゴ,,Logo (programming language),n,True
圧縮,あっしゅく,compression (of data),"n,vs,vt",True
移植,いしょく,porting (software),"n,vs,vt",True
解放,かいほう,deallocation (of computer memory),"n,vs,vt",True
改造,かいぞう,modding,"n,vs,vt",True
開く,ひらく,"to open (a file, etc.)","v5k,vt",True
拡張,かくちょう,escape,"n,vs,vt",True
間隔,かんかく,space character,n,True
基盤,きばん,platform,n,True
記憶,きおく,memory,"n,vs,vt",True
空白,くうはく,whitespace,n,True
継承,けいしょう,inheritance,"n,vs,vt",True
結合,けつごう,join (in relational algebra),n,True
後退,こうたい,backspace (key),n,True
攻撃,こうげき,cyber attack (e.g. DDoS),n,True
参照,さんしょう,browsing (to a file or folder),"n,vs,vt",True
実行,じっこう,execution (of a program),"n,vs,vt",True
周辺,しゅうへん,(computer) peripheral,n,True
照会,しょうかい,query (of a database),"n,vs,vt",True
上位,じょうい,higher order (e.g. byte),n,True
常駐,じょうちゅう,"resident (program, file, etc.)",adj-no,True
設定,せってい,options setting,"n,vs,vt",True
走行,そうこう,running (of a program),"n,vs,vi",True
退避,たいひ,backup (of data),"n,vs,vi",True
叩く,たたく,to call,"v5k,vt",True
端末,たんまつ,terminal,n,True
通知,つうち,"notification (on a smartphone, PC, etc.)",n,True
通報,つうほう,message (in information and communication theory),"n,vs,vt,vi",True
定数,ていすう,literal,n,True
摘み,つまみ,(file) handle,n,True
展開,てんかい,extraction (of compressed data),"n,vs,vt,vi",True
投入,とうにゅう,submitting (a job to a computer),"n,vs,vt",True
同期,どうき,synchronization,"n,vs,vt,vi",True
破壊,はかい,(application) crash,"n,vs,vt,vi",True
配列,はいれつ,array,n,True
発火,はっか,firing (of an event),"n,vs,vi",True
発行,はっこう,raising (an event),"n,vs,vt",True
番地,ばんち,address,n,True
否定,ひてい,NOT operation,n,True
表示,ひょうじ,display,"n,vs,vt",True
復帰,ふっき,carriage return,n,True
壁紙,かべがみ,wallpaper,n,True
保存,ほぞん,save (to storage),"n,vs,vt",True
本番,ほんばん,production environment,n,True
命令,めいれい,(software) instruction,"n,vs,vt",True
戻り,もどり,return (from a procedure),n,True
要素,ようそ,element (e.g. in array),n,True
連携,れんけい,integration,"n,vs,vi",True
