word,reading,meaning_en,pos,common
甲,こう,the A party (e.g. in a contract),n,True
悪意,あくい,mala fides,n,True
陰謀,いんぼう,conspiracy,n,True
隠滅,いんめつ,destruction (esp. of evidence),"n,vs,vi,vt",True
果実,かじつ,fruits,n,True
回避,かいひ,recusal (of a judge),"n,vs,vi",True
開示,かいじ,discovery,n,True
喚問,かんもん,summons,"n,vs,vt",True
器物,きぶつ,personal property,n,True
忌避,きひ,recusation (of a judge),"n,vs,vt,vi",True
供述,きょうじゅつ,affidavit,"n,vs,vt",True
教唆,きょうさ,incitement,"n,vs,vt",True
継承,けいしょう,share-alike,n,True
検証,けんしょう,"on-site inspection (by a judge, investigator, etc.) to gather physical evidence","n,vs,vt",True
原告,げんこく,plaintiff,n,True
故意,こい,mens rea (guilty mind),n,True
公訴,こうそ,(public) prosecution,"n,vs,vt",True
公有,こうゆう,public domain,n,True
控訴,こうそ,appeal to a higher court,"n,vs,vi",True
告訴,こくそ,accusation,"n,vs,vt",True
国王,こくおう,"the Crown (as a focus of authority in the UK, etc.)",n,True
婚姻,こんいん,marriage,"n,vs,vi",True
再審,さいしん,retrial,"n,vs,vt",True
錯誤,さくご,discrepancy between one's actions and intentions,n,True
時効,じこう,prescription,n,True
執行,しっこう,execution,"n,vs,vt",True
主犯,しゅはん,principal offence,n,True
女王,じょおう,princess,n,True
召喚,しょうかん,summons,"n,vs,vt",True
上告,じょうこく,final appeal to the highest court,"n,vs,vi",True
宣告,せんこく,sentencing,"n,vs,vt",True
善意,ぜんい,bona fides,n,True
捜索,そうさく,"legally authorized search of a person, building, etc.","n,vs,vt",True
相殺,そうさい,set-off,"n,vs,vt",True
送検,そうけん,committing a suspect to trial,"n,vs,vt",True
着手,ちゃくしゅ,commencing (a crime),"n,vs,vi",True
調停,ちょうてい,"conciliation (e.g. in civil or family court, leading to a settlement based on mutual concessions)","n,vs,vt",True
発動,はつどう,invocation,"n,vs,vt,vi",True
判例,はんれい,judicial precedent,n,True
被告,ひこく,defendant,n,True
表示,ひょうじ,(copyright) attribution,"n,vs,vt",True
報復,ほうふく,retorsion,"n,vs,vi",True
猶予,ゆうよ,suspended sentence,n,True
幼児,ようじ,child over 1 but not yet of school age,n,True
和解,わかい,court-mediated settlement,"n,vs,vi",True
抗告,こうこく,appeal,"n,vs,vi",True
仮処分,かりしょぶん,provisional disposition,n,True
管理人,かんりにん,custodian,n,True
青少年,せいしょうねん,persons under the age of 18,n,True
不文律,ふぶんりつ,unwritten law,n,True
被疑者,ひぎしゃ,suspect,n,True
