word,reading,meaning_en,pos,common
股,また,groin,n,True
石,いし,"stone (in the bladder, kidney etc.)",n,True
帯,おび,cingulum,n,True
腸,ちょう,intestine,n,True
脳,のう,brain,n,True
管,かん,vessel,n,True
移植,いしょく,"transplantation (of an organ, tissue, etc.)","n,vs,vt",True
下肢,かし,lower limbs,n,True
角膜,かくまく,cornea,n,True
感染,かんせん,infection,"n,vs,vi",True
肝炎,かんえん,hepatitis,n,True
肝臓,かんぞう,liver,n,True
関節,かんせつ,joint,n,True
気管,きかん,trachea,n,True
急性,きゅうせい,acute (illness),"adj-no,n",True
形成,けいせい,repair (e.g. with plastic surgery),"n,vs,vt",True
結核,けっかく,tuberculosis,n,True
血管,けっかん,blood vessel,n,True
鼓膜,こまく,eardrum,n,True
梗塞,こうそく,infarction,"n,vs,vi",True
骨髄,こつずい,bone marrow,n,True
昏睡,こんすい,coma,"n,vs,vi",True
湿疹,しっしん,eczema,n,True
疾患,しっかん,disease,n,True
実質,じっしつ,parenchyma,n,True
腫瘍,しゅよう,tumor,n,True
食道,しょくどう,esophagus,n,True
心臓,しんぞう,heart,n,True
神経,しんけい,nerve,n,True
腎臓,じんぞう,kidney,n,True
静脈,じょうみゃく,vein,n,True
脊髄,せきずい,spinal cord,n,True
赤痢,せきり,dysentery,n,True
前庭,ぜんてい,vestibule (of the ear),n,True
堕胎,だたい,abortion,"n,vs,vi",True
打診,だしん,percussion,"n,vs,vt",True
体型,たいけい,somatotype,n,True
胎盤,たいばん,placenta,n,True
大腸,だいちょう,large intestine,n,True
大脳,だいのう,cerebrum,n,True
脱出,だっしゅつ,prolapse,"n,vs,vi",True
中耳,ちゅうじ,middle ear,n,True
点滴,てんてき,intravenous drip,"n,vs,vt",True
頭骨,とうこつ,skull,n,True
動脈,どうみゃく,artery,n,True
軟骨,なんこつ,cartilage,n,True
難聴,なんちょう,hardness of hearing,n,True
難病,なんびょう,serious disease,n,True
粘膜,ねんまく,mucous membrane,n,True
脳炎,のうえん,brain inflammation,n,True
脳波,のうは,electroencephalogram,n,True
肺炎,はいえん,pneumonia,n,True
白線,はくせん,linea alba,n,True
発作,ほっさ,fit,n,True
肥大,ひだい,hypertrophy,"n,vs,vi",True
貧血,ひんけつ,anemia,n,True
浮腫,むくみ,swelling,n,True
負荷,ふか,stress testing (of physical function or performance),n,True
腹部,ふくぶ,abdomen,n,True
慢性,まんせい,chronic (illness),"adj-no,n",True
盲腸,もうちょう,cecum,n,True
網膜,もうまく,retina,n,True
癒着,ゆちゃく,adhesion,"n,vs,vi",True
卵巣,らんそう,ovary,n,True
喘息,ぜんそく,asthma,n,True
嘔吐,おうと,vomiting,"n,vs,vt",True
悪阻,つわり,morning sickness,n,True
上唇,うわくちびる,upper lip,n,True
萎縮,いしゅく,contraction,"n,vs,vi",True
失神,しっしん,syncope,n,True
麻酔,ますい,anaesthesia,n,True
麻痺,まひ,paralysis,"n,vs,vi",True
投与,とうよ,administration (of medicine),"n,vs,vt",True
心筋,しんきん,cardiac muscle,n,True
転移,てんい,metastasis,"n,vs,vi",True
症例,しょうれい,case,n,True
耐性,たいせい,"resistance (to drugs, pesticides, etc.)",n,True
発症,はっしょう,outbreak of an illness,"n,vs,vt,vi",True
エコー,,ultrasound (scan),n,True
カタル,,catarrh,n,True
チフス,チブス,typhoid,n,True
ポリオ,,polio,n,True
肝硬変,かんこうへん,cirrhosis (of the liver),n,True
気管支,きかんし,bronchus,n,True
狭心症,きょうしんしょう,angina pectoris,n,True
血友病,けつゆうびょう,hemophilia,n,True
呼吸器,こきゅうき,respiratory organs,n,True
後遺症,こういしょう,prognostic symptoms,n,True
甲状腺,こうじょうせん,thyroid (gland),n,True
高血圧,こうけつあつ,high blood pressure,n,True
