word,reading,meaning_en,pos,common
屡々,しばしば,often,adv,True
グー,ぐー,ungh,"adv,int",True
カッと,かっと,flaring up,"adv,vs",True
からり,,with a clatter,"adv-to,adv",True
ズバリ,ずばり,decisively,"adv,adv-to",True
パッと,ぱっと,suddenly,adv,True
ふわり,ふうわり,softly,adv-to,True
ぽかん,ポカン,vacantly,adv-to,True
チェッ,ちぇっ,tsk,int,True
ちくり,チクリ,prickling,"adv-to,adv",True
バタン,ばたん,bang,"adv,adv-to",True
がらん,ガラン,clanging,"adv,adv-to",True
にゃー,にゃあ,meow,"adv,adv-to",True
ずらり,ズラリ,in a row,"adv-to,adv",True
チラリ,ちらり,"fleeting (glimpse, glance, etc.)","adv-to,adv",True
ムッと,むっと,to be offended,"vs,vi,adv",True
ドドン,どどん,with a boom,adv-to,True
いそいそ,イソイソ,cheerfully,"adv-to,adv,vs",True
うずうず,ウズウズ,itching to do something,"adv,adv-to,vs",True
うとうと,ウトウト,falling into a doze,"adv,adv-to,vs",True
オドオド,おどおど,timidly,"adv,adv-to,vs",True
おろおろ,オロオロ,in confusion,"adv,adv-to,vs",True
カチカチ,コチコチ,ticktock,"adv-to,adv",True
がさがさ,ガサガサ,rustling,"adv,adv-to,vs",True
ガタガタ,がたがた,rattling,"adv,adv-to,vs",True
がぶがぶ,ガブガブ,gulping down (a drink),"adv,adv-to",True
がやがや,ガヤガヤ,noisily (crowd of people talking),"adv,adv-to,vs",True
キラキラ,きらきら,glittering,"adv,adv-to,vs",True
ギザギザ,ぎざぎざ,notches,n,True
ぎゅっと,ギュッと,"tightly (hold, squeeze, etc.)","adv,vs",True
ぎょっと,ギョッと,being startled,"adv,vs",True
ギラギラ,ぎらぎら,glaringly,"adv,adv-to,vs",True
限り限り,ぎりぎり,just barely,"adj-na,adj-no,n,adv",True
くたくた,クタクタ,exhausted,"adj-na,adv,adv-to",True
くどくど,,"tediously (explain, complain, etc.)","adv,adv-to,vs",True
くよくよ,クヨクヨ,to fret (over),vs,True
くるくる,クルクル,whirling,"adv,adv-to,vs",True
ぐずぐず,,slowly,"adv,adv-to,vs",True
ぐったり,グッタリ,limply,"adv,adv-to,vs",True
グラグラ,ぐらぐら,wobbling,"adv,adv-to,vs,adj-no,adj-na",True
ぐるぐる,グルグル,(turning) round and round,"adv,adv-to",True
こそこそ,コソコソ,sneakily,"adv,adv-to,vs",True
コツコツ,こつこつ,steadily,"adv-to,adv",True
コロコロ,ころころ,(rolling) along,"adv,adv-to",True
ゴロゴロ,ごろごろ,"rumbling (of thunder, one's stomach, etc.)","adv,adv-to,vs",True
さらさら,サラサラ,with a rustling sound,"adv,adv-to",True
ザラザラ,ざらざら,"rough (touch, voice, etc.)","adv,adv-to,vs,adj-no,adj-na",True
ざわざわ,ザワザワ,noisily (from many people talking),"adv,adv-to,vs",True
しとしと,シトシト,gently (raining),"adv,adv-to,vs",True
じめじめ,ジメジメ,damp,"adv,adv-to,vs",True
すやすや,スヤスヤ,peacefully (sleeping),"adv,adv-to",True
スラスラ,すらすら,smoothly,"adv,adv-to",True
