,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
0,傲岸不遜,"['n,adj-na']",ごうがんふそん,傲,152,13,[],[],"['⺅', '土', '方', '攵']",['傲'],[7],['形声 Phonetic'],[0],[308],[308],['.'],岸,664,8,[' bank/coast/shore]'],['きし'],"['干', '山', '厂']",['岸'],[3],['形声 Phonetic'],[2],[36242],[23045],['P'],不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R'],遜,2417,13,[],[],"['ノ', '辶', '子', '糸', '幺', '小']",['遜'],[7],['形声 Phonetic'],[0],[304],[304],['.'],傲岸,[' haughty/arrogant/supercilious]'],['ごうがん'],傲岸,[' haughty/arrogant/supercilious]'],['ごうがん']
1,質実剛健,"['n,adj-na']",しつじつごうけん,質,2293,15,"[' quality/value nature/inherent quality/character logical quality,', ' nature (of a person)/disposition/temperament nature (of something)/character/kind/sort,', ' pawn/pawned article pledge/security/guarantee]']","['しつ', 'たち', 'しち']","['貝', '目', 'ハ', '斤']",['質'],[5],['会意 Com. Ideographic'],[4],[112708],[112140],['P'],実,592,8,"[' truth/reality sincerity/honesty/fidelity content/substance (good) result,', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" truth/reality sincerity/honesty/integrity/fidelity that's right,"", ' seed (of a fruit)/pit/pip/stone tongue (projecting strip on a board that fits into a groove on another board) clitoris core/kernel/heart,', ' the real person/said person real thing/genuine article]']","['じつ', 'み', 'まこと', 'さね', 'そうじみ']","['士', '大', '宀']",['実'],[3],['会意 Com. Ideographic'],[3],[436044],[423855],['R'],剛,244,10,[' strong/hard/manly]'],['ごう'],"['刂', '并', '冂', '岡', '山']",['剛'],[7],['会意 Com. Ideographic'],[1],[17299],[2501],['R'],健,139,11,[],[],"['⺅', '廴', '聿']",['健'],[4],['形声 Phonetic'],[1],[94206],[59964],['S'],質実,[' simplicity/plainness]'],['しつじつ'],質実,[' simplicity/plainness]'],['しつじつ']
2,有言実行,"['n,vs']",ゆうげんじっこう,有,1131,6,"[' existence possession/having limited company,', ' bhava (becoming, existence)]']","['ゆう', 'う']","['ノ', '一', '月']",['有'],[3],['会意 Com. Ideographic'],[4],[180920],[159897],['R'],言,2182,7,[' word/remark/statement]'],['げん'],['言'],['言'],[2],['象形 Pictographic'],[4],[408709],[408580],['P'],実,592,8,"[' truth/reality sincerity/honesty/fidelity content/substance (good) result,', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" truth/reality sincerity/honesty/integrity/fidelity that's right,"", ' seed (of a fruit)/pit/pip/stone tongue (projecting strip on a board that fits into a groove on another board) clitoris core/kernel/heart,', ' the real person/said person real thing/genuine article]']","['じつ', 'み', 'まこと', 'さね', 'そうじみ']","['士', '大', '宀']",['実'],[3],['会意 Com. Ideographic'],[3],[436044],[423855],['R'],行,2122,6,"[' line (of text)/row/verse carya (austerities) samskara (formations) semi-cursive style (of writing Chinese characters)/running style,', "" going/travelling/traveling/journey/trip act/action bank counter for banks counter for groups or parties of people type of classical Chinese verse (usu. an epic from the Tang period onwards) shopping district (of similar merchants; in the Sui and Tang periods) merchants' guild (in the Tang period)]""]","['ぎょう', 'こう']","['行', '彳']",['行'],[2],['象形 Pictographic'],[5],[750313],[708761],['P'],有言,[],[],有言,[],[]
3,一族郎党,['n'],いちぞくろうとう,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],族,1070,11,"[' tribe/clan/band/family (taxonomical) tribe group (of the periodic table),', ' party (of people)/set (of people)/clan/family/fellow]']","['ぞく', 'やから']","['方', '矢']",['族'],[3],['会意 Com. Ideographic'],[4],[109908],[109595],['P'],郎,2434,9,[' nth son lang/official title in ancient China man/young man my husband/my lover nth child (male and female)]'],['ろう'],"['艮', '⻏']",['郎'],[7],['形声 Phonetic'],[1],[163121],[8937],['S'],党,180,10,"[' party (political) person who is fond of/fan of,', ' gathering/place where people gather police station/camp/barracks]']","['とう', 'たむろ']","['口', '⺌', '儿', '冖']",['党'],[6],['形声 Phonetic'],[2],[495041],[269334],['S'],一族,[' family/relatives/dependents household]'],['いちぞく'],一族,[' family/relatives/dependents household]'],['いちぞく']
4,安穏無事,"['n,adj-na']",あんのんぶじ,安,582,6,[' cheap rash/thoughtless/careless/indiscreet/frivolous]'],['やす'],"['女', '宀']",['安'],[3],['会意 Com. Ideographic'],[4],[358754],[276286],['R'],穏,1733,16,[],[],"['ヨ', '禾', '心', '爪']",['穏'],[7],['形声 Phonetic'],[1],[6768],[6757],['S'],無,1464,12,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']","['｜', 'ノ', '一', '灬', '無']",['無'],[4],['仮借 Loan'],[2],[225588],[224748],['R'],事,37,8,"["" thing/matter incident/occurrence/event/something serious/trouble/crisis circumstances/situation/state of affairs work/business/affair after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to nominalizing suffix pretending to .../playing make-believe ... alias/also known as/otherwise known as/or necessity/need 10. you should .../I advise that you .../it's important to ...,"", ' individual concrete phenomenon (as opposed to a general principle),', ' nominalizing suffix pretending to .../playing make-believe ...]']","['こと', 'じ', 'ごと']","['一', '口', '亅', 'ヨ']",['事'],[3],['会意 Com. Ideographic'],[4],[934182],[925136],['P'],安穏,[' peace/quiet/tranquility/tranquillity]'],['あんのん'],安穏,[' peace/quiet/tranquility/tranquillity]'],['あんのん']
5,左顧右眄,"['n,vs']",さこうべん,左,682,5,"[' left/left hand side,', ' left (esp. in vertical Japanese writing)/the following]']","['ひだり', 'さ']","['ノ', '一', '工']",['左'],[1],['会意 Com. Ideographic'],[5],[102910],[100234],['R'],顧,2621,21,[],[],"['貝', '目', 'ハ', '戸', '頁', '隹', '一', '尸']",['顧'],[7],['会意 Com. Ideographic'],[1],[25207],[25205],['S'],右,337,5,[' right/right-hand side afore-mentioned (esp. in vertical Japanese writing)/foregoing/forgoing/above]'],['みぎ'],"['ノ', '一', '口']",['右'],[1],['会意 Com. Ideographic'],[5],[118918],[116443],['R'],眄,1637,9,[],[],"['目', '一', '山', '亅']",,,,,,,,左顧,[],[],左顧,[],[]
6,右顧左眄,"['n,vs']",うこさべん,右,337,5,[' right/right-hand side afore-mentioned (esp. in vertical Japanese writing)/foregoing/forgoing/above]'],['みぎ'],"['ノ', '一', '口']",['右'],[1],['会意 Com. Ideographic'],[5],[118918],[116443],['R'],顧,2621,21,[],[],"['貝', '目', 'ハ', '戸', '頁', '隹', '一', '尸']",['顧'],[7],['会意 Com. Ideographic'],[1],[25207],[25205],['S'],左,682,5,"[' left/left hand side,', ' left (esp. in vertical Japanese writing)/the following]']","['ひだり', 'さ']","['ノ', '一', '工']",['左'],[1],['会意 Com. Ideographic'],[5],[102910],[100234],['R'],眄,1637,9,[],[],"['目', '一', '山', '亅']",,,,,,,,右顧,[],[],右顧,[],[]
7,戮力協心,"['n,vs']",りくりょくきょうしん,戮,910,15,[],[],"['羽', '𠆢', '冫', '彡', '戈']",,,,,,,,力,253,2,"[' force/strength/might/vigour/vigor/energy capability/ability/proficiency/capacity/faculty efficacy/effect effort/endeavours/endeavors/exertions power/authority/influence/good offices/agency support/help/aid/assistance stress/emphasis means/resources,', ' strength/power/proficiency/ability the strength of ... people/the strength of ... men,', ' strength/power/proficiency/ability]']","['ちから', 'りき', 'りょく']",['力'],['力'],[1],['象形 Pictographic'],[4],[489194],[474012],['P'],協,295,8,[],[],"['十', '力']",['協'],[4],['形声 Phonetic'],[2],[248079],[241560],['S'],心,787,4,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind/spirit/vitality/inner strength bottom of one\'s heart/core (of one\'s character)/nature centre/center/core/heart heart (organ) Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",['心'],['心'],[2],['象形 Pictographic'],[4],[258654],[256954],['P'],戮力,[],[],戮力,[],[]
8,同工異曲,['n'],どうこういきょく,同,344,6,[' the same/the said likewise]'],['どう'],"['口', '冂', '一']",['同'],[2],['会意 Com. Ideographic'],[4],[833380],[827991],['R'],工,681,3,"[' workman/artisan/mechanic/carpenter craft/skill means/idea,', ' (factory) worker]']","['たくみ', 'こう']",['工'],['工'],[2],['象形 Pictographic'],[4],[175531],[134455],['S'],異,1587,11,"[' difference (of opinion) strange/odd/unusual different,', ' difference (from one another)/different thing/other unusual/extraordinary]']","['い', 'こと']","['一', '田', 'ハ', '井']",['異'],[6],['象形 Pictographic'],[1],[61359],[61359],['R'],曲,1122,6,"[' composition/piece of music/song/track (on a record) tune/melody/air enjoyment/fun/interest/pleasure,', ' corner/nook/recess shade/shadow/dark area dark circles (under the eyes)/dark rings shading/gradation kumadori/style of kabuki makeup used for violent roles,', ' wickedness/evil/calamity/disaster,', ' long segment of a noh play forming its musical highlight wrong/improper/indecent]']","['きょく', 'くま', 'まが', 'くせ']","['｜', '日']",['曲'],[3],['象形 Pictographic'],[3],[44726],[43583],['S'],同工,[],[],同工,[],[]
9,異口同音,['n'],いくどうおん,異,1587,11,"[' difference (of opinion) strange/odd/unusual different,', ' difference (from one another)/different thing/other unusual/extraordinary]']","['い', 'こと']","['一', '田', 'ハ', '井']",['異'],[6],['象形 Pictographic'],[1],[61359],[61359],['R'],口,327,3,"[' mouth opening/hole/gap/orifice mouth (of a bottle)/spout/nozzle/mouthpiece gate/door/entrance/exit speaking/speech/talk (i.e. gossip) taste/palate mouth (to feed) opening (i.e. vacancy)/available position invitation/summons 10. kind/sort/type 11. opening (i.e. beginning) 12. counter for mouthfuls, shares (of money), and swords,', ' mouth/speech counter for people or implements]']","['くち', 'く']","['囗', '口']",['口'],[1],['象形 Pictographic'],[4],[200300],[113613],['S'],同,344,6,[' the same/the said likewise]'],['どう'],"['口', '冂', '一']",['同'],[2],['会意 Com. Ideographic'],[4],[833380],[827991],['R'],音,2594,9,[' sound/noise/report note fame Chinese-derived character reading]'],['おと'],"['音', '日', '立']",['音'],[1],['会意 Com. Ideographic'],[4],[85993],[81924],['P'],異口,[],[],異口,[],[]
