あ			啊；哎呀〈感〉
ああ			啊（感叹）〈感〉
あいかわらず	[あいかわらず]		照旧；依旧〈副〉
あいさつする			打招呼；寒暄〈动3〉
あいにく			不凑巧；偏偏〈副〉
あいまい			模糊；含糊〈ナ形〉
あかちゃん			婴儿〈名〉
あかんぼう			婴儿〈名〉
あきれる			震惊；无语〈动2〉
あくどい			（颜色）过分艳丽；（手段）恶毒〈イ形〉
あくび			哈欠〈名〉
あげる	[あげる]		给（我方之外的人）；举起；提高〈动2〉
あさって			后天〈名〉
あざ笑う	[あざわらう]		【あざわらう】嘲笑〈动1〉
あした	[あした]		明天〈名〉
あそこ	[あそこ]		那里（远称）〈代〉
あたりまえ	[あたりまえ]		理所当然；平常〈ナ形〉
あちこち			到处；各处〈名〉
あちら			那边；那位（远称）〈代〉
あちらこちら			到处；四处〈名〉
あっ			啊！哎呀！〈感〉
あっさり	[あっさり]		清淡；干脆；轻易〈副〉
あっち			那边（あちら的随意说法）〈代〉
あてはまる			适用；符合〈动1〉
あてはめる			套用；使合适〈动2〉
あと	[あと]		之后；剩下；痕迹（跡）〈名〉
あなた	[あなた]		你（多用于妻子称丈夫或对陌生人）〈代〉
あの	[あの]		那个〈连体〉
あびる			浇；淋；冲；晒（太阳）〈动2〉
あふれる	[あふれる]		溢出；（信息）充满〈动2〉
あぶる			烤；烘；（火）逼近〈动1〉
あべこべ			相反；颠倒〈ナ形〉
あまり	[あまり]		太……（接否定）；（不）怎么〈副〉
あやふや			含糊；不明确〈ナ形〉
あら			哎呀（女性感叹词）〈感〉
あらすじ			梗概；情节概要〈名〉
あらゆる			所有；一切〈连体〉
あられ			霰；小冰雹；（米果）〈名〉
ありがとう			谢谢〈感〉
ありのまま	[ありのまま]		如实；原原本本〈名〉
ある	[ある]		有；在（非生命物）〈动1〉
あるいは			或者；也许〈接〉
あれ	[あれ]		那个（远指）〈代〉
あれこれ			这个那个；种种（=あれこれ）〈名〉
あわただしい			匆忙的；慌乱的〈イ形〉
あわてる	[あわてる]		慌张；惊慌〈动2〉
あんな			那样的〈连体〉
あんなに	[あんなに]		那么；那样地〈副〉
あんまり			太……（接否定）；过于〈副〉
いい			好（=いい）〈イ形〉
いいえ	[いいえ]		不；不是〈感〉
いい加減	[いいかげん]		【いいかげん】马马虎虎；适当；（接否定）不再〈ナ形〉
いえ	[いえ]		家；房子（同「家」）〈名〉
いかが	[いかが]		如何（=いかが）〈副〉
いかに	[いかに]		如何；多么（=いかに）〈副〉
いかにも	[いかにも]		的确；果然（=いかにも）〈副〉
いきなり	[いきなり]		突然；冷不防〈副〉
いく	[いく]		去（行く的随意说法）〈动1〉
いくつ			几个；几岁〈数〉
いくら	[いくら]		多少钱；多少〈名〉
いけない			不行；不可以；（〜てはいけない：不许）〈惯〉
いざ			一旦；事到临头〈副〉
いじめる			欺负；虐待〈动2〉
いじる	[いじる]		摆弄；玩弄〈动1〉
いす	[いす]		椅子〈名〉
いずれ	[いずれ]		反正；不久；哪个〈副〉
いたずら			恶作剧；（俗）好色〈名〉
いただきます	[いただきます]		我开动了（饭前用语）〈感〉
いただく	[いただく]		领受（もらう的自谦）；吃、喝（食べる的自谦）〈动1〉
いち	[いち]		市场；集市〈名〉
いちいち			一一；逐个〈副〉
いちばん	[いちばん]		第一；最〈副〉
いっそ			宁可；索性〈副〉
いっぱい	[いっぱい]		满；充满；很多；（一杯、一碗的）量〈名〉
いつ	[いつ]		什么时候〈代〉
いつか	[いつか]		迟早；哪天〈副〉
いつでも			无论何时〈副〉
いつのまにか	[いつのまにか]		不知不觉〈副〉
いつまでも	[いつまでも]		永远；始终〈副〉
いつも	[いつも]		总是；平时〈副〉
いやいや	[いやいや]		不情愿地；摇头拒绝〈副〉
いやに			特别；过分地〈副〉
いやらしい	[いやらしい]		讨厌的；下流的〈イ形〉
いよいよ	[いよいよ]		终于；越发〈副〉
いらいら			烦躁；着急〈副〉
いらっしゃい			欢迎（光临）〈感〉
いらっしゃる	[いらっしゃる]		在；来；去（いる、来る、行く的尊敬语）〈动1〉
いろいろ	[いろいろ]		各种各样〈ナ形〉
いわゆる			所谓的〈连体〉
うかがう			拜访；请教；窥视（伺う，自谦）〈动1〉
うがい			漱口〈名〉
うそ	[うそ]		谎言；不对；开玩笑〈名〉
うそつき	[うそつき]		说谎（的人）〈名〉
うち	[うち]		家；（范围）之内；之中〈名〉
うっかり			不留神；稀里糊涂〈副〉
うどん			乌冬面；面条〈名〉
うなる			呻吟；（兽）吼；感叹〈动1〉
うまい	[うまい]		好吃的；高明的；顺利的〈イ形〉
うるさい	[うるさい]		吵闹的；烦人的〈イ形〉
うれしい	[うれしい]		高兴的；喜悦的〈イ形〉
うろうろ			徘徊；慌乱不安〈副〉
うん			嗯（是的，口语）〈感〉
うんざり			厌烦；腻〈副〉
うんと			非常；（差距）大大地〈副〉
えい			鳐（鱼）〈名〉
ええ			嗯；是的〈感〉
ええと			呃；那个（犹豫时）〈感〉
おいしい	[おいしい]		好吃的；美味的〈イ形〉
おいでになる			（敬语）来；去；在〈动1〉
おおい	[おおい]		喂！（大声呼叫）〈感〉
おおざっぱ			粗略；马虎〈ナ形〉
おかげ	[おかげ]		托…的福；得益于〈名〉
おかげさまで			托您的福〈副〉
おかしい	[おかしい]		奇怪的；可笑的〈イ形〉
おかず			下饭菜；菜肴〈名〉
