## 検疫法
  検疫法に基づき動物の持ち込みが制限される。 | 依据《检疫法》，携带动物入境受到限制。
  検疫法の検査で積荷の一部が陸揚げできなかった。 | 经《检疫法》检查，部分货物未能卸船。
  検疫法は国内への病害の侵入を防ぐ役割を持つ。 | 《检疫法》承担着防止病害传入国内的职责。
## 無主物
  無主物は先占によって所有権を取得できる。 | 无主物可通过先占取得所有权。
  海岸に流れ着いた木片は無主物とみなされた。 | 漂上海岸的木块被认定为无主物。
  無主物の範囲をめぐって学説が分かれている。 | 关于无主物的范围，学说存在分歧。
## 過疎法
  過疎法に基づき地方創生の支援策が講じられた。 | 依据《过疏法》出台了地方振兴的支援措施。
  過疎法の指定自治体には交付金が支給される。 | 被《过疏法》指定的地方自治体可获得拨款。
  過疎法の見直しが人口減少対策の議論と並行して進んだ。 | 《过疏法》的修订与人口减少对策的讨论同步推进。
## 判決書
  判決書の写しを後日受け取りに行った。 | 事后去领取了判决书副本。
  判決書には裁判官の心証形成の過程が詳しく記されている。 | 判决书详细记载了法官形成内心确信的过程。
  控訴のため判決書の内容を確認した。 | 为提起上诉，确认了判决书的内容。
## 主犯格
  彼は犯行グループの主犯格とみなされている。 | 他被视为作案团伙的主犯。
  主犯格の男が警察に出頭した。 | 主犯向警方投案。
  主犯格と従犯格で刑の重さが異なる。 | 主犯与从犯所受刑罚轻重有别。
## 和解金
  和解金として一百万円が支払われた。 | 支付了一百万日元作为和解金。
  和解金の額をめぐって交渉が長引いた。 | 围绕和解金额，谈判拖延了很久。
  和解金の支払いと引き換えに訴えが取り下げられた。 | 作为支付和解金的交换条件，诉讼被撤回。
## 脱税犯
  脱税犯として指名手配された。 | 因逃税被通缉。
  脱税犯は摘発されると追徴課税も重くなる。 | 逃税者一旦被查获，追加征税也会加重。
  海外へ逃れた脱税犯の身柄引き渡し協議が行われた。 | 就逃往海外的逃税犯进行了引渡磋商。
## 温対法
  温対法に基づき温室効果ガスの排出削減目標が定められている。 | 依据《温対法》确定了温室气体减排目标。
  企業は温対法の制度を利用して排出量取引に参加できる。 | 企业可利用《温対法》的制度参与排放交易。
  温対法の改正案が国会に提出された。 | 《温対法》修正案已提交国会。
## 行政罰
  過料は行政罰の一種とされている。 | 罚款被归为行政处罚的一种。
  行政罰と刑事罰では手続きの建前が異なる。 | 行政处罚与刑事处罚在程序原则上有别。
  許可の取消しが行政罰として科された。 | 吊销许可作为行政处罚被处以。
## 売防法
  売防法に基づき特定地域では販売場所の指定が行われた。 | 依据《卖春防止法》，在特定地区指定了交易场所。
  売防法は助成と処罰の両面から問題に対処する法律だ。 | 《卖春防止法》从扶助与处罚两方面应对问题的法律。
  売防法の趣旨は人身取引の根絶にある。 | 《卖春防止法》的宗旨在于根绝人身交易。
## 伝産法
  伝産法に基づき伝統的工芸品の指定が行われている。 | 依据《传统产业振兴法》指定传统工艺品。
  伝産法の指定を受けて産地の技術継承が進んだ。 | 获得《传统产业振兴法》指定后，产地技艺传承得以推进。
  伝産法の支援制度を利用して新工房が開かれた。 | 利用《传统产业振兴法》的支援制度开设了新工坊。
## 暴対法
  暴対法に基づき指定暴力団への規制が強化された。 | 依据《暴对法》加强了对指定暴力团的规制。
  暴対法の運用には公安委員会の指定手続きが要る。 | 适用《暴对法》须经公安委员会的指定程序。
  企業は暴対法に基づく不当要求への対応を学んでいる。 | 企业正在学习依《暴对法》应对不当索求。
## 旧民法
  旧民法の下では戸主の権限が強かった。 | 旧民法之下，户主的权限很大。
  旧民法から現行民法への転換は家族観の変化を映している。 | 从旧民法到现行民法的转变映照出家庭观念的变化。
  旧民法の条文を史料として調べた。 | 作为史料查阅了旧民法的条文。
## 災対法
  災対法に基づき災害対策本部が設置された。 | 依据《灾害对策基本法》设立了灾害对策总部。
  災対法は被災者の救援と生活再建の枠組みを定めている。 | 《灾害对策基本法》规定了受灾者救援与生活重建的框架。
  大規模災害のたびに災対法の見直しが議論されてきた。 | 每逢大规模灾害，《灾害对策基本法》的修订都会被讨论。
## 報労金
  拾得物の返還を受ける際には報労金を支払うのが慣例だ。 | 领取拾得遗失物时支付酬金是惯例。
  拾得者は報労金として一定割合を受け取れる。 | 拾得人可按一定比例领取酬金。
  報労金の額をめぐって拾得者と落とし物の主が話し合った。 | 围绕酬金数额，拾得人与失主进行了协商。
## ＰＬ法
  ＰＬ法に基づき製造物の欠陥について製造者が責任を負う。 | 依据《产品责任法》，产品缺陷由制造者承担责任。
  ＰＬ法の施行後、取扱説明書の記載が丁寧になった。 | 《产品责任法》施行后，使用说明书的记载更加细致。
  ＰＬ法に基づく損害賠償請求が裁判で認められた。 | 基于《产品责任法》的损害赔偿请求获得法院支持。
## 限時法
  限時法は有効期間が過ぎれば効力を失う。 | 限时法一旦超过有效期限即失效。
  災害時の特別立法は限時法として制定された。 | 灾害时期的特别立法作为限时法制定。
  限時法の失効後も施行令が残ったままだった。 | 限时法失效后，施行令却仍保留了下来。
## 翻案権
